family,category,python_reference,ir_adjoint,bwd_cpu_ir_oracle,bwd_target_lowered,bwd_runtime_bound,bwd_oracle_proven,bwd_device_verified_jit,bwd_device_verified_abi,build_evidence,notes,bwd_residual_policy,bwd_implementation
sgd,functional_optimizer_step,yes,native,cpu,rocm_gfx1151,"rocm_gfx1151,x86_avx512","rocm_gfx1151,x86_avx512",rocm_gfx1151,x86_avx512,python_reference=python-unit-registry;ir_adjoint=llvm23-core;bwd_cpu_ir_oracle=llvm23-core;device[rocm_gfx1151=LLVM/MLIR 23; ROCm 7.14; gfx1151];device[x86_avx512=LLVM/MLIR 23; Ryzen AI MAX+ 395 AVX-512],"native compiler adjoint; native backward executes on rocm_gfx1151, x86_avx512 (Phase 4)",rocm_gfx1151=recompute_all;x86_avx512=recompute_all,rocm_gfx1151=dedicated;x86_avx512=dedicated
sigmoid,elementwise,yes,native,cpu,cpu_x86_64,cpu_x86_64,cpu_x86_64,cpu_x86_64,,python_reference=python-unit-registry;ir_adjoint=llvm23-core;bwd_cpu_ir_oracle=llvm23-core;device[cpu_x86_64=llvm23-core+x86_64-jit],native static-shape adjoint (W5); dynamic → placeholder; native backward executes on cpu_x86_64 (Phase 4),,
sigmoid_safe,stable_reduction,yes,none,,,,,,,python_reference=python-unit-registry,,,
sign,numeric_helper,yes,none,,,,,,,python_reference=python-unit-registry,,,
silu,elementwise,yes,native,cpu,,,,,,python_reference=python-unit-registry;ir_adjoint=llvm23-core;bwd_cpu_ir_oracle=llvm23-core,native compiler adjoint,,
silu_mul,elementwise,yes,none,,,,,,,python_reference=python-unit-registry,,,
simple_rnn_cell,recurrent,yes,none,,,,,,,python_reference=python-unit-registry,,,
sin,elementwise,yes,placeholder,,,,,,,python_reference=python-unit-registry;ir_adjoint=llvm23-core,custom_adjoint_call → Python VJP (not native IR),,
sinh,elementwise,yes,none,,,,,,,python_reference=python-unit-registry,,,
slice,tensor_algebra,yes,none,,,,,,,python_reference=python-unit-registry,,,
smooth_l1_loss,loss,yes,native,cpu,rocm_gfx1151,"rocm_gfx1151,x86_avx512","rocm_gfx1151,x86_avx512",rocm_gfx1151,x86_avx512,python_reference=python-unit-registry;ir_adjoint=llvm23-core;bwd_cpu_ir_oracle=llvm23-core;device[rocm_gfx1151=LLVM/MLIR 23; ROCm 7.14; gfx1151];device[x86_avx512=LLVM/MLIR 23; Ryzen AI MAX+ 395 AVX-512],"native compiler adjoint; native backward executes on rocm_gfx1151, x86_avx512 (Phase 4)",rocm_gfx1151=save_inputs;x86_avx512=save_inputs,rocm_gfx1151=dedicated;x86_avx512=dedicated
softcap,elementwise,yes,none,,,,,,,python_reference=python-unit-registry,,,
softmax,stable_reduction,yes,native,cpu,,,,,,python_reference=python-unit-registry;ir_adjoint=llvm23-core;bwd_cpu_ir_oracle=llvm23-core,native compiler adjoint,,
softmax_safe,stable_reduction,yes,none,,,,,,,python_reference=python-unit-registry,,,
softplus,elementwise,yes,placeholder,,,,,,,python_reference=python-unit-registry;ir_adjoint=llvm23-core,custom_adjoint_call → Python VJP (not native IR),,
spectral_conv,spectral,yes,none,,,,,,,python_reference=python-unit-registry,,,
spectral_filter,spectral,yes,none,,,,,,,python_reference=python-unit-registry,,,
spectral_norm,normalization,yes,none,,,,,,,python_reference=python-unit-registry,,,
split,tensor_algebra,yes,none,,,,,,,python_reference=python-unit-registry,,,
spmm_coo,sparse,yes,none,,,,,,,python_reference=python-unit-registry,,,
spmm_csr,sparse,yes,none,,,,,,,python_reference=python-unit-registry,,,
sqrt,elementwise,yes,none,,,,,,,python_reference=python-unit-registry,,,
squeeze,tensor_algebra,yes,none,,,,,,,python_reference=python-unit-registry,,,
stack,tensor_algebra,yes,none,,,,,,,python_reference=python-unit-registry,,,
std,reduction,yes,none,,,,,,,python_reference=python-unit-registry,,,
stft,spectral,yes,none,,,,,,,python_reference=python-unit-registry,,,
sub,elementwise,yes,none,,,,,,,python_reference=python-unit-registry,,,
sum,stable_reduction,yes,native,cpu,,,,,,python_reference=python-unit-registry;ir_adjoint=llvm23-core;bwd_cpu_ir_oracle=llvm23-core,native compiler adjoint (static extent required for mean),,
svd,linalg_decomposition,yes,none,,,,,,,python_reference=python-unit-registry,,,
take,indexing,yes,none,,,,,,,python_reference=python-unit-registry,,,
tan,elementwise,yes,none,,,,,,,python_reference=python-unit-registry,,,
tanh,elementwise,yes,native,cpu,cpu_x86_64,cpu_x86_64,cpu_x86_64,cpu_x86_64,,python_reference=python-unit-registry;ir_adjoint=llvm23-core;bwd_cpu_ir_oracle=llvm23-core;device[cpu_x86_64=llvm23-core+x86_64-jit],native static-shape adjoint (W5); dynamic → placeholder; native backward executes on cpu_x86_64 (Phase 4),,
tile,tensor_algebra,yes,none,,,,,,,python_reference=python-unit-registry,,,
transpose,layout_transform,yes,none,,,,,,,python_reference=python-unit-registry,,,
tri_solve,linalg_solver,yes,none,,,,,,,python_reference=python-unit-registry,,,
triplet_loss,loss,yes,none,,,,,,,python_reference=python-unit-registry,,,
unsqueeze,tensor_algebra,yes,none,,,,,,,python_reference=python-unit-registry,,,
var,reduction,yes,none,,,,,,,python_reference=python-unit-registry,,,
view,tensor_algebra,yes,none,,,,,,,python_reference=python-unit-registry,,,
vlb_loss,loss,yes,none,,,,,,,python_reference=python-unit-registry,,,
wasserstein_distance,loss,yes,none,,,,,,,python_reference=python-unit-registry,,,
weight_norm,normalization,yes,none,,,,,,,python_reference=python-unit-registry,,,
where,numeric_helper,yes,none,,,,,,,python_reference=python-unit-registry,,,
z_loss,loss,yes,none,,,,,,,python_reference=python-unit-registry,,,
